101	hey ! do you love cats ?	hey . . . i am a dog person , i have two	ah that is cool , i have two cats and got a collection of 1000 hats for them !	wow ! ! ! that is a lot lol	yeah , i have a weakness for cats and vanilla ice cream , they are the best !	my weakness is eating when i am bored	what is your favorite season ? mine is winter !	i am a summer girl	have you ever watched the olympics ? i won a gold medal in 1992 !	cool what did you win for ?	it was in the 100 meter dash ! i got 7 seconds !	wow ! ! i just run on my treadmill lol	nothing like a good exercise !	yes and i love the rower machine	row row row your boat gently down the stream , when you see a crocodile . . .	lol nursery r h y m e s
102	i love bunnies ! i wish i would open a bunny daycare or hotel .	that is a cool idea . how are you today ?	a little tired . worked all day today at the shipyard .	i just got back from school , not a big fan of it though .	you should join the military . i am ex military . girls love uniforms ;	i have never considered it . maybe it would help me make some more friends .	i joined the navy because i like navy blue , but infantry has sexy uniforms also .	i will definitely keep the in mind if i join .	i donate part of my salary to my bunny rescue . you should too .	do you have any bunnies ?	not anymore . i ate them all .	wow ! you have quite the appetite .	yeah , i like to eat . what do you do for a living ?	i am a receptionist at a dentist office
103	hi how are you tonight ?	i am worn out from work today . how are you ?	me too ! i am trying to train for a 5k	i used to run . i work at a convenience store .	oh well i am in high school but i know what i want to do	what do you want to do ?	i want to be a physical therapist	that sounds like a good job . i am the manager at the store that i work at .	that is cool . i try to make all straight as so i can achieve my goa	great ! do you like taylor swift ? i met her once .	yeah she is cool . she seems nice and her songs are catchy	i have her latest album in my car . i have a nissan .	nice ! hopefully i will get a car when i graduate	what kind of car do you want ?
104	hi , my name is kate and i am from ohio .	hello miss ! i m ben and i m grounded for not picking up my toys	i am sorry to hear that . do you like pizza ?	when mommy orders it . what do you like on your pizza ?	it is my favorite food . i really like it with black olives on it . you ?	i like the red stuff underneath the cheese ! how old are you ?	i am thirty years old and i work at a supermarket in my town .	is that where my parents pick up the food ?	i am not sure if it is the same one .	do you have any pets ?	i have a cat . his name is spook . what about you ?	i have a turtle . i named him leo	that is cool . how did you get a turtle ?	my best friend got it for me . he lives across he street	that was sweet of him . do you like music ?	i like what barney sings !	you may not know them , but the who is a great band !	daddy listens to them all the time !
105	hi . i do not like working as a car salesman .	i recently broke my arm so i am not working	what happened ? it is hard to do anything with a broken arm .	i blame my skateboarding friends	do you think 40 is too old to go back to school ?	yes , you should retire and learn to knit	no money . once i get paid my wife goes shopping . never get married .	good advise , thank you for that	where do you work ?	i try to avoid working at all	it is hard for me . i do not like telling people to buy something .	i just want to live free	nothing is free . unless you win the lottery .	it could happen one day	are you married or are you at home with your parents ?	anything is possible right ?
106	hi , i am taking a break from studying my computer programming	what is computer programming , i am new to the united states .	i am from india so i understand . it is telling computers how to run programs	cool , i was born in somalia , but my aunt helped me escape .	that was nice of her ! my aunt taught me how to swim	i had to get away , i was forced to marry young , but now i am happy	did you take your spouse with you ?	no , i had to escape him . it was not fun times .	i am sorry . i am glad you are safe now	thank you , do you do anything in your free time ?	i love death metal music . i listen and write some too .	death metal , is that the music you get whip lash from ?	yeah ! i also coach competitive swimming .	swimming is fun ! have you met any olympians ?
107	hi there how are you tonight ?	i am tired from milking the cows .	well i know i am strong for a 100 but i do not think i can do that	100 ? ! that is older then my dad ! would you make your son milk cows ?	yea because i sure cant do it	i would rather be coloring in my books ! do you like sports ?	yes i have love baseball all my life	i like to watch hockey with my dad . do you have any kids ?	yes 8 kids 24 grandkids and counting	wow ! i can not even count that high ! i have a pet though . do you ?	no but i should i heard they are great companions	dad got me a german sheperd to help on the farm . where do you live ?	in california but i want to move to france	france is a long ways away ! will you drive there ?	no way i would die on the way il fly there	do they let people as old as you on planes , mister ?
108	what do you do in your spare time ?	i recently quit my job , moved in to monastery to pursue my spirituality .	that is incredibly brilliant . congratulations	i appreciate that . are you a spiritual person , may i ask ?	yes i am actually . i became very close to god after surviving cancer	you are amazing . thank you for sharing .	you are as well . an inspiration . i must remember you when training my clients	what is it that you do ?	i actually just started as a life coach	peace be with you as you embark on your new journey	thank you . that means a lot to me	live in he wilderness of alaska now , we do not have many life coaches here .	it is very much needed . people need guidance	i agree fully . do you believe in meditation ? my meditation time has brought me much peace	i meditate right before i run a big marathon and it helps me keep my stamina .	good for you ! i have never ran a marathon , but i certainly admire your determination !
109	hello how are you this fine day ?	i am good ! counting the days till i can move out . and you ?	i am playing some role playing games online today . i love the internet , probably too much !	my job at burger king is taking away all of my video game time .	i work in fast food also .	my coworkers are always complaining i burn the burgers . you are not my parents !	i tried to go to school to be a vet . i hated it !	do you drink or do drugs ?	i do not . do you dye your hair ? i do every 3 months .	ok good . but why dye your hair ? that is , like , drugs for your hair .	i love to dye it blue . red reminds me of blood and i faint from that !	blue ! ? blue ! ? i hate blue ! ree ! ! !	what color should i dye it ?	black , like my soul . i am very depressed from working at burger king .	that is deep . i could do black . my natural hair color is blond .	blond is perfectly fine . you should just keep it like that .
110	hello , how are you doing today ?	okay . i go to school . i like disney world .	oh i love disney world . it has a beach nearby and i love the beach .	do you like playing on the swings at the playground ?	i normally do not go to the playgrounds much anymore . how old are you ?	i am nine years old . how old are you ?	oh ! i am 27 years old . i am also an elementary school teacher .	what grade do you teach ? i am in third . do you like mickey mouse ?	i teach 4th grade . i love mickey mouse . i decorate my classroom with him	i bet you would love disney world . do you ever go ?	someday i would like to . i am saving up . have you ever been ?	every year . i am lucky . would you like to go with me ?	oh that is a sweet offer . you have to ask your parents first !	my dad will take you . he has lot of money . where are your vacations ?	i do not take many . i play board games mostly . . . teachers do not make much money	i will ask my dad . do you play video games ? i like them .
111	hello ! how are you doing today ?	hi . i am doing great . thanks for asking . and you ?	i am doing great ! i am just building a model house	cool . i volunteer at various places at the moment	that is nice , what places ?	church , high school tutoring , publishing houses	i work part time because i cant leave my cats alone long	wow . how many cats do you have ?	i have a total of 5 cats	nice . what do you think of someone growing up poor ?	i honestly think it makes them a better person	well i asked because i grew up poor during several periods	i am sorry to hear . at least your living !	yes , it is well . enough about me . how about your favorite past times ?	i just like to spend time with my cats	ok . what about favorite foods ? cheeseburgers ?
112	hey , what are you planning for today ?	oh not much , my name is heather and just looking to chat with people	i like chatting too , it is how i got homecoming queen talking to everyone	what is your name and do you have any hobbies ?	kris , i run , training to run a k , how about yourself any hobbies ?	ha , ha that is funny my husband was homecoming king in high school	how long are you married ? did you go to college ?	i like books . not much time now that i am going to have a baby	oh congrats ! i read a lot need , the a hope to be a physical therapist	i got my degree from college , i have been married for 3 years	cool , i want so badly to finish high school and go to college	so how old are you kris ?	17 , but feels older . how about you ?	do not be so eager to grow up its not as fun as you may think	i know but you get to make your own decisions	i am 27 and wish i was 17 again ha ha
113	hey ! how are you doing today ?	hi ! doing great . where are you from ?	i am from the south in the us . what about you ?	i live in hawaii and i work from home .	beautiful place . i have a dog walking business . do you have pets ?	it is . i love it here . i have 2 dogs they love it here too .	good to talk to a fellow dog lover ! we have three .	awesome ! will you dress them up for halloween ?	yeah , we will go all out this year ! do you have any plans ?	we are gonna watch a bunch of horror movies . have you seen the new it ?	have not gotten the chance , maybe this week . you a big horror movie buff ?	horror movies are my favorite !	perfect time of the year for them !	my thoughts exactly . nice chatting , have a great day !
114	what do you do for work ?	i am a school teacher , who about you ?	i work on my parents farm	i bet that is hard work	it is , but its a lifestyle	true do you have any hobbies outside of the farm ?	i love listening to country music , its the best genre	i love photography and foreign language	those sound like fun hobbies	they are very simple but enjoyable	do you have any pets ?	unfortunately no , do you have any ?	yes , a cow . it seems strange , but they are the best pets !	now that is unusual but interesting .
115	hi how are you today	i am doing well how about you ?	doing good just waiting on the baby birth	aww congratulations . it must be exciting .	we are having triplets so very excited	ow wow now that will be hard task	yeah do you have kids ?	no i sadly do not . i never been one to hold a steady relationship	i just got remarried with step children	and now you are having triplets . now that will be a huge family	and i work at a school so kids everywhere	are you a teacher ? or work in administration ?	i am a teacher where do you work ?	i am self employed . what subject do you teach	i teach early childhood	that is cool . my mother is actually the chair of and education department
