hello what are doing today ? <eos>	i am good , i just got off work and tired , i have two jobs .
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos>	i just got done watching a horror movie
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos>	i rather read , i have read about 20 books this year .
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos>	wow ! i do love a good horror movie . loving this cooler weather
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos>	but a good movie is always good .
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos>	yes ! my son is in junior high and i just started letting him watch them too
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos>	i work in the movies as well .
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos> i work in the movies as well . <eos>	neat ! ! i used to work in the human services field
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos> i work in the movies as well . <eos> neat ! ! i used to work in the human services field <eos>	yes it is neat , i stunt double , it is so much fun and hard work .
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos> i work in the movies as well . <eos> neat ! ! i used to work in the human services field <eos> yes it is neat , i stunt double , it is so much fun and hard work . <eos>	yes i bet you can get hurt . my wife works and i stay at home
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos> i work in the movies as well . <eos> neat ! ! i used to work in the human services field <eos> yes it is neat , i stunt double , it is so much fun and hard work . <eos> yes i bet you can get hurt . my wife works and i stay at home <eos>	nice , i only have one parent so now i help out my mom .
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos> i work in the movies as well . <eos> neat ! ! i used to work in the human services field <eos> yes it is neat , i stunt double , it is so much fun and hard work . <eos> yes i bet you can get hurt . my wife works and i stay at home <eos> nice , i only have one parent so now i help out my mom . <eos>	i bet she appreciates that very much .
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos> i work in the movies as well . <eos> neat ! ! i used to work in the human services field <eos> yes it is neat , i stunt double , it is so much fun and hard work . <eos> yes i bet you can get hurt . my wife works and i stay at home <eos> nice , i only have one parent so now i help out my mom . <eos> i bet she appreciates that very much . <eos>	she raised me right , i am just like her .
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos> i work in the movies as well . <eos> neat ! ! i used to work in the human services field <eos> yes it is neat , i stunt double , it is so much fun and hard work . <eos> yes i bet you can get hurt . my wife works and i stay at home <eos> nice , i only have one parent so now i help out my mom . <eos> i bet she appreciates that very much . <eos> she raised me right , i am just like her . <eos>	my dad was always busy working at home depot
hello what are doing today ? <eos> i am good , i just got off work and tired , i have two jobs . <eos> i just got done watching a horror movie <eos> i rather read , i have read about 20 books this year . <eos> wow ! i do love a good horror movie . loving this cooler weather <eos> but a good movie is always good . <eos> yes ! my son is in junior high and i just started letting him watch them too <eos> i work in the movies as well . <eos> neat ! ! i used to work in the human services field <eos> yes it is neat , i stunt double , it is so much fun and hard work . <eos> yes i bet you can get hurt . my wife works and i stay at home <eos> nice , i only have one parent so now i help out my mom . <eos> i bet she appreciates that very much . <eos> she raised me right , i am just like her . <eos> my dad was always busy working at home depot <eos>	now that i am older home depot is my toy r us .
hi ! how are you doing tonight ? <eos>	i am doing great . just relaxing with my two dogs .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos>	great . in my spare time i do volunteer work .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos>	that is neat . what kind of volunteer work do you do ?
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos>	i work in a homeless shelter in my town .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos>	good for you . do you like vintage cars ? i have two older mustangs .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos> good for you . do you like vintage cars ? i have two older mustangs . <eos>	cool . not really into cars . my day job is wrestling .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos> good for you . do you like vintage cars ? i have two older mustangs . <eos> cool . not really into cars . my day job is wrestling . <eos>	cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ?
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos> good for you . do you like vintage cars ? i have two older mustangs . <eos> cool . not really into cars . my day job is wrestling . <eos> cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ? <eos>	yes , i love the crowds , getting to know people .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos> good for you . do you like vintage cars ? i have two older mustangs . <eos> cool . not really into cars . my day job is wrestling . <eos> cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ? <eos> yes , i love the crowds , getting to know people . <eos>	i did not think about the crowd aspect of wrestling . i do not like crowds .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos> good for you . do you like vintage cars ? i have two older mustangs . <eos> cool . not really into cars . my day job is wrestling . <eos> cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ? <eos> yes , i love the crowds , getting to know people . <eos> i did not think about the crowd aspect of wrestling . i do not like crowds . <eos>	understood . when i need to be alone , i work out a few times each week .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos> good for you . do you like vintage cars ? i have two older mustangs . <eos> cool . not really into cars . my day job is wrestling . <eos> cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ? <eos> yes , i love the crowds , getting to know people . <eos> i did not think about the crowd aspect of wrestling . i do not like crowds . <eos> understood . when i need to be alone , i work out a few times each week . <eos>	i agree . working out is a great way to burn off steam . do you like country music ?
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos> good for you . do you like vintage cars ? i have two older mustangs . <eos> cool . not really into cars . my day job is wrestling . <eos> cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ? <eos> yes , i love the crowds , getting to know people . <eos> i did not think about the crowd aspect of wrestling . i do not like crowds . <eos> understood . when i need to be alone , i work out a few times each week . <eos> i agree . working out is a great way to burn off steam . do you like country music ? <eos>	a little bit . i can get into taylor swift .
hi ! how are you doing tonight ? <eos> i am doing great . just relaxing with my two dogs . <eos> great . in my spare time i do volunteer work . <eos> that is neat . what kind of volunteer work do you do ? <eos> i work in a homeless shelter in my town . <eos> good for you . do you like vintage cars ? i have two older mustangs . <eos> cool . not really into cars . my day job is wrestling . <eos> cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ? <eos> yes , i love the crowds , getting to know people . <eos> i did not think about the crowd aspect of wrestling . i do not like crowds . <eos> understood . when i need to be alone , i work out a few times each week . <eos> i agree . working out is a great way to burn off steam . do you like country music ? <eos> a little bit . i can get into taylor swift . <eos>	lol . she is more pop now . her old stuff was country . i like classic country .
hello , how are you doing ? <eos>	i love spending time with my family
hello , how are you doing ? <eos> i love spending time with my family <eos>	that is great , me too ! i am married and my husband and i have 2 children .
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos>	so then have you ever been to disneyland ?
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos>	no , we recently purchased a new house , so we cannot afford it . have you ?
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos>	yes i love mickey mouse such a cute little rat
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos> yes i love mickey mouse such a cute little rat <eos>	i enjoy going to concerts , i see the rolling stones every year .
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos> yes i love mickey mouse such a cute little rat <eos> i enjoy going to concerts , i see the rolling stones every year . <eos>	man your lucky i am a baby delivery nurse and the pay sucks
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos> yes i love mickey mouse such a cute little rat <eos> i enjoy going to concerts , i see the rolling stones every year . <eos> man your lucky i am a baby delivery nurse and the pay sucks <eos>	maybe you should consider going back to school . i did . i major in economics .
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos> yes i love mickey mouse such a cute little rat <eos> i enjoy going to concerts , i see the rolling stones every year . <eos> man your lucky i am a baby delivery nurse and the pay sucks <eos> maybe you should consider going back to school . i did . i major in economics . <eos>	i have to walk 3 miles to work to save money everyday what do you do ?
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos> yes i love mickey mouse such a cute little rat <eos> i enjoy going to concerts , i see the rolling stones every year . <eos> man your lucky i am a baby delivery nurse and the pay sucks <eos> maybe you should consider going back to school . i did . i major in economics . <eos> i have to walk 3 miles to work to save money everyday what do you do ? <eos>	i mostly eat a fresh and raw diet , so i save on groceries .
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos> yes i love mickey mouse such a cute little rat <eos> i enjoy going to concerts , i see the rolling stones every year . <eos> man your lucky i am a baby delivery nurse and the pay sucks <eos> maybe you should consider going back to school . i did . i major in economics . <eos> i have to walk 3 miles to work to save money everyday what do you do ? <eos> i mostly eat a fresh and raw diet , so i save on groceries . <eos>	your economic skills are amazing
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos> yes i love mickey mouse such a cute little rat <eos> i enjoy going to concerts , i see the rolling stones every year . <eos> man your lucky i am a baby delivery nurse and the pay sucks <eos> maybe you should consider going back to school . i did . i major in economics . <eos> i have to walk 3 miles to work to save money everyday what do you do ? <eos> i mostly eat a fresh and raw diet , so i save on groceries . <eos> your economic skills are amazing <eos>	thank you very much ! i am sure you are a great nurse .
